tconst,titleType,originalTitle,startYear,runtimeMinutes,genres,averageRating_x,numVotes_x,averageRating_y,numVotes_y,averageRating,numVotes
tt11057302,movie,Madame Web,2024,116,"Action,Adventure,Sci-Fi",3.9,69061.0,3.9,69061.0,3.9,69061.0
tt11262142,tvSeries,Bandidos,2024,45,"Action,Adventure,Crime",6.5,2400.0,6.5,2400.0,6.5,2400.0
tt11389872,movie,Kingdom of the Planet of the Apes,2024,145,"Action,Adventure,Sci-Fi",7.2,50127.0,7.2,50127.0,7.2,50127.0
tt12037194,movie,Furiosa: A Mad Max Saga,2024,148,"Action,Adventure,Sci-Fi",7.8,76559.0,7.8,76559.0,7.8,76559.0
tt12262202,tvSeries,The Acolyte,2024,35,"Action,Adventure,Drama",4.3,26361.0,4.3,26361.0,4.3,26361.0
tt12584954,movie,Twisters,2024,122,"Action,Adventure,Thriller",,,,,,
tt12637874,tvSeries,Fallout,2024,60,"Action,Adventure,Drama",8.4,201432.0,8.4,201432.0,8.4,201432.0
tt13270838,movie,Fyre Rises,2024,110,"Action,Crime,Drama",,,,,,
tt13452446,movie,Damsel,2024,110,"Action,Adventure,Fantasy",6.1,88711.0,6.1,88711.0,6.1,88711.0
tt13818368,movie,Fighter,2024,166,"Action,Drama",6.2,46337.0,6.2,46337.0,6.2,46337.0
tt14132588,movie,Arena Wars,2024,96,"Action,Comedy,Sci-Fi",,,,,,
tt14371878,movie,Lift,2024,107,"Action,Comedy,Crime",5.5,40187.0,5.5,40187.0,5.5,40187.0
tt14539740,movie,Godzilla x Kong: The New Empire,2024,115,"Action,Adventure,Fantasy",6.2,71639.0,6.2,71639.0,6.2,71639.0
tt14564000,movie,Guntur Kaaram,2024,159,"Action,Drama",5.3,20922.0,5.3,20922.0,5.3,20922.0
tt14764464,movie,Code 8: Part II,2024,100,"Action,Crime,Drama",5.7,12689.0,5.7,12689.0,5.7,12689.0
tt14856980,movie,Atlas,2024,118,"Action,Adventure,Drama",5.6,37790.0,5.6,37790.0,5.6,37790.0
tt15009428,movie,Argylle,2024,139,"Action,Comedy,Thriller",5.7,74508.0,5.7,74508.0,5.7,74508.0
tt15239678,movie,Dune: Part Two,2024,166,"Action,Adventure,Drama",8.6,442460.0,8.6,442460.0,8.6,442460.0
tt15352048,movie,Reloaded 2,2024,45,"Action,Crime,Romance",,,,,,
tt15376430,movie,Jacob Tyler,2024,143,"Action,Thriller",,,,,,
tt15433956,movie,Hanu Man,2024,158,"Action,Adventure,Fantasy",7.9,24414.0,7.9,24414.0,7.9,24414.0
tt16026746,tvSeries,X-Men '97,2024,22,"Action,Adventure,Animation",8.9,28327.0,8.9,28327.0,8.9,28327.0
tt16368898,movie,Lights Out,2024,90,"Action,Horror,Thriller",4.8,1214.0,4.8,1214.0,4.8,1214.0
tt16427902,movie,Biônicos,2024,110,"Action,Adventure,Sci-Fi",4.2,1019.0,4.2,1019.0,4.2,1019.0
tt1684562,movie,The Fall Guy,2024,126,"Action,Comedy,Drama",7.0,93812.0,7.0,93812.0,7.0,93812.0
tt17279496,movie,Civil War,2024,109,"Action,Adventure,Thriller",7.2,107697.0,7.2,107697.0,7.2,107697.0
